angle;len
0.176;64
0.352;65
0.528;64
0.704;64
0.8799999999999999;65
1.056;65
1.232;64
1.408;64
1.5839999999999999;65
1.7599999999999998;64
1.936;65
2.112;65
2.288;64
2.464;64
2.6399999999999997;65
2.816;64
2.992;65
3.1679999999999997;65
3.344;64
3.5199999999999996;65
3.6959999999999997;65
3.872;64
4.048;64
4.224;65
4.3999999999999995;65
4.576;65
4.752;64
4.928;64
5.104;65
5.279999999999999;65
5.4559999999999995;65
5.632;65
5.808;64
5.984;64
6.159999999999999;64
6.335999999999999;64
6.512;64
6.688;64
6.864;65
7.039999999999999;65
7.215999999999999;65
7.3919999999999995;64
7.568;64
7.744;64
7.92;65
8.096;65
8.272;65
8.448;64
8.623999999999999;64
8.799999999999999;64
8.975999999999999;63
9.152;65
9.328;65
9.504;64
9.68;64
9.856;65
10.032;65
10.208;65
10.383999999999999;64
10.559999999999999;64
10.735999999999999;65
10.911999999999999;64
11.088;65
11.264;64
11.44;65
11.616;64
11.792;64
11.968;64
12.144;64
12.319999999999999;64
12.495999999999999;65
12.671999999999999;64
12.847999999999999;65
13.024;64
13.2;65
13.376;65
13.552;65
13.728;64
13.904;65
14.079999999999998;65
14.255999999999998;64
14.431999999999999;65
14.607999999999999;65
14.783999999999999;64
14.959999999999999;65
15.136;64
15.312;65
15.488;65
15.664;65
15.84;65
16.016;65
16.192;64
16.368;64
16.544;65
16.72;64
16.896;65
17.072;65
17.247999999999998;65
17.424;65
17.599999999999998;64
17.776;65
17.951999999999998;64
18.128;64
18.304;64
18.48;65
18.656;64
18.831999999999997;65
19.008;65
19.183999999999997;64
19.36;64
19.535999999999998;65
19.712;64
19.887999999999998;64
20.064;65
20.24;64
20.416;65
20.592;65
20.767999999999997;64
20.944;65
21.119999999999997;65
21.296;65
21.471999999999998;65
21.648;65
21.823999999999998;64
22.0;64
22.176;65
22.352;64
22.528;65
22.703999999999997;64
22.88;64
23.055999999999997;64
23.232;64
23.407999999999998;65
23.584;63
23.759999999999998;64
23.936;65
24.112;64
24.288;64
24.464;65
24.639999999999997;65
24.816;64
24.991999999999997;63
25.168;64
25.343999999999998;65
25.52;64
25.695999999999998;64
25.872;64
26.048;64
26.224;64
26.4;64
26.575999999999997;64
26.752;63
26.927999999999997;63
27.104;63
27.279999999999998;65
27.456;65
27.631999999999998;65
27.808;65
27.983999999999998;63
28.159999999999997;64
28.336;65
28.511999999999997;64
28.688;65
28.863999999999997;64
29.04;64
29.215999999999998;64
29.392;65
29.567999999999998;64
29.744;65
29.919999999999998;65
30.095999999999997;64
30.272;64
30.447999999999997;64
30.624;65
30.799999999999997;64
30.976;65
31.151999999999997;65
31.328;64
31.503999999999998;64
31.68;65
31.855999999999998;64
32.032;64
32.208;64
32.384;65
32.559999999999995;64
32.736;65
32.912;64
33.088;64
33.263999999999996;64
33.44;65
33.616;65
33.792;65
33.967999999999996;64
34.144;65
34.32;64
34.495999999999995;65
34.672;64
34.848;65
35.024;63
35.199999999999996;65
35.376;65
35.552;64
35.727999999999994;65
35.903999999999996;65
36.08;64
36.256;65
36.431999999999995;65
36.608;65
36.784;65
36.96;64
37.135999999999996;65
37.312;65
37.488;64
37.663999999999994;65
37.839999999999996;63
38.016;65
38.192;64
38.367999999999995;65
38.544;65
38.72;65
38.896;64
39.071999999999996;64
39.248;65
39.424;65
39.599999999999994;65
39.775999999999996;63
39.952;65
40.128;64
40.303999999999995;64
40.48;64
40.656;64
40.832;63
41.007999999999996;64
41.184;63
41.36;65
41.535999999999994;64
41.711999999999996;65
41.888;63
42.064;65
42.239999999999995;65
42.416;63
42.592;65
42.768;64
42.943999999999996;63
43.12;64
43.296;63
43.471999999999994;65
43.647999999999996;65
43.824;63
44.0;64
44.175999999999995;63
44.352;65
44.528;64
44.704;64
44.879999999999995;64
45.056;64
45.232;64
45.407999999999994;64
45.583999999999996;63
45.76;64
45.936;64
46.111999999999995;65
46.288;64
46.464;64
46.64;64
46.815999999999995;64
46.992;64
47.168;63
47.343999999999994;64
47.519999999999996;63
47.696;64
47.872;65
48.047999999999995;63
48.224;65
48.4;65
48.576;65
48.751999999999995;64
48.928;64
49.104;64
49.279999999999994;63
49.455999999999996;64
49.632;64
49.808;64
49.983999999999995;65
50.16;64
50.336;64
50.512;64
50.687999999999995;65
50.864;64
51.04;65
51.215999999999994;64
51.391999999999996;64
51.568;64
51.744;64
51.919999999999995;65
52.096;64
52.272;64
52.448;65
52.623999999999995;65
52.8;63
52.976;65
53.151999999999994;65
53.327999999999996;65
53.504;65
53.68;64
53.855999999999995;65
54.032;64
54.208;64
54.384;64
54.559999999999995;64
54.736;64
54.912;65
55.087999999999994;64
55.263999999999996;64
55.44;64
55.616;64
55.791999999999994;65
55.967999999999996;64
56.144;65
56.31999999999999;64
56.495999999999995;64
56.672;64
56.848;64
57.023999999999994;63
57.199999999999996;65
57.376;63
57.552;64
57.727999999999994;64
57.903999999999996;65
58.08;64
58.25599999999999;63
58.431999999999995;64
58.608;64
58.784;65
58.959999999999994;64
59.135999999999996;63
59.312;64
59.488;63
59.663999999999994;64
59.839999999999996;64
60.016;64
60.19199999999999;64
60.367999999999995;64
60.544;64
60.72;64
60.895999999999994;63
61.071999999999996;63
61.248;65
61.424;65
61.599999999999994;64
61.775999999999996;63
61.952;64
62.12799999999999;64
62.303999999999995;64
62.48;65
62.656;64
62.831999999999994;63
63.007999999999996;64
63.184;64
63.36;63
63.535999999999994;64
63.711999999999996;65
63.888;65
64.064;63
64.24;64
64.416;64
64.592;65
64.768;64
64.944;64
65.11999999999999;63
65.29599999999999;63
65.472;63
65.648;63
65.824;65
66.0;63
66.176;64
